epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,532.665,1.47417,2.5058,1.55063,0.77847,0.72718,0.80299,0.54589,1.18562,1.29476,1.24003,0.00332858,0.00332858,0.00332858
2,1061.37,1.28593,1.48534,1.39268,0.84379,0.7823,0.85383,0.57012,1.2201,0.98072,1.23388,0.00659597,0.00659597,0.00659597
3,1583.57,1.30457,1.24746,1.3986,0.78988,0.77959,0.82892,0.51366,1.34488,1.03547,1.31062,0.00979735,0.00979735,0.00979735
4,2091.27,1.30512,1.13201,1.40731,0.83987,0.78601,0.85532,0.55969,1.28698,0.90335,1.26117,0.009703,0.009703,0.009703
5,2617.25,1.24444,1.00473,1.36289,0.86964,0.81335,0.88413,0.61448,1.1547,0.85019,1.20647,0.009604,0.009604,0.009604
6,3134.58,1.19838,0.94248,1.33427,0.86426,0.80691,0.87422,0.57256,1.29993,0.84158,1.25738,0.009505,0.009505,0.009505
7,3650.46,1.16163,0.88,1.31065,0.85527,0.80698,0.86865,0.62163,1.09682,0.814,1.1892,0.009406,0.009406,0.009406
8,4171.02,1.12673,0.83666,1.2883,0.86116,0.84231,0.90593,0.66962,1.02501,0.70696,1.13505,0.009307,0.009307,0.009307
9,4681.84,1.10592,0.8141,1.27072,0.88454,0.8332,0.90524,0.67437,1.00572,0.72412,1.11384,0.009208,0.009208,0.009208
10,5223.49,1.07873,0.78722,1.25667,0.88019,0.86691,0.91495,0.68672,1.00649,0.66293,1.10623,0.009109,0.009109,0.009109
11,5695.99,1.05925,0.76251,1.24051,0.87218,0.84591,0.90974,0.69524,0.9729,0.66035,1.1012,0.00901,0.00901,0.00901
12,6180.69,1.04581,0.74609,1.23083,0.87838,0.83964,0.91202,0.69766,0.96445,0.67541,1.08955,0.008911,0.008911,0.008911
13,6683.33,1.02947,0.72468,1.22168,0.88515,0.87052,0.9243,0.71065,0.96796,0.62238,1.08481,0.008812,0.008812,0.008812
14,7193.16,1.01203,0.71467,1.21018,0.89652,0.85503,0.93248,0.71776,0.94674,0.6185,1.07566,0.008713,0.008713,0.008713
15,7702.79,1.00489,0.6971,1.20011,0.89868,0.86356,0.93124,0.71974,0.93496,0.60383,1.07128,0.008614,0.008614,0.008614
16,8193.94,0.98829,0.6831,1.19456,0.90187,0.859,0.93081,0.72374,0.9161,0.60636,1.05747,0.008515,0.008515,0.008515
17,8712.5,0.98048,0.67537,1.189,0.88454,0.88836,0.9372,0.73208,0.92605,0.59496,1.06133,0.008416,0.008416,0.008416
18,9224.41,0.97344,0.66379,1.18259,0.91102,0.85552,0.93531,0.734,0.90339,0.58157,1.04982,0.008317,0.008317,0.008317
19,9742.67,0.96551,0.65727,1.18058,0.9063,0.8762,0.93925,0.74155,0.9024,0.56877,1.05341,0.008218,0.008218,0.008218
20,10251.4,0.9611,0.65315,1.17148,0.89812,0.89506,0.94532,0.74217,0.90872,0.57009,1.04948,0.008119,0.008119,0.008119
21,10768.3,0.95181,0.64556,1.16936,0.89236,0.90075,0.94223,0.75153,0.89166,0.56232,1.04078,0.00802,0.00802,0.00802
22,11275.8,0.94536,0.63829,1.16225,0.89688,0.87904,0.94242,0.74745,0.88668,0.55385,1.03638,0.007921,0.007921,0.007921
23,11778,0.92801,0.62018,1.15627,0.91569,0.87636,0.94606,0.75949,0.86468,0.54046,1.03074,0.007822,0.007822,0.007822
24,12305.9,0.93019,0.6254,1.1528,0.91178,0.88449,0.95079,0.76007,0.86456,0.54497,1.02474,0.007723,0.007723,0.007723
25,12833.7,0.92466,0.61849,1.15205,0.91268,0.90353,0.95127,0.76354,0.86581,0.5362,1.02506,0.007624,0.007624,0.007624
26,13349.3,0.91629,0.61355,1.14671,0.90326,0.89096,0.94791,0.7597,0.86082,0.5326,1.02442,0.007525,0.007525,0.007525
27,13858.6,0.91577,0.60613,1.14383,0.89231,0.90256,0.9479,0.76193,0.85517,0.53553,1.01953,0.007426,0.007426,0.007426
28,14378.6,0.90551,0.5969,1.13794,0.90936,0.90529,0.95212,0.76846,0.85021,0.51603,1.02171,0.007327,0.007327,0.007327
29,14891.6,0.90007,0.5926,1.13322,0.92904,0.89017,0.95239,0.77032,0.84371,0.50977,1.0131,0.007228,0.007228,0.007228
30,15412.5,0.89771,0.5913,1.13286,0.8965,0.90835,0.95118,0.7693,0.84134,0.51667,1.01177,0.007129,0.007129,0.007129
31,15923.7,0.89126,0.5882,1.13143,0.90617,0.90833,0.95241,0.7734,0.8405,0.51381,1.0093,0.00703,0.00703,0.00703
32,16440.8,0.88492,0.58138,1.12711,0.90048,0.91045,0.95198,0.77579,0.8352,0.50443,1.00827,0.006931,0.006931,0.006931
33,16945.7,0.88516,0.57907,1.12402,0.90882,0.91445,0.95505,0.77656,0.8256,0.49986,1.00231,0.006832,0.006832,0.006832
34,17473.1,0.87581,0.57062,1.12245,0.90762,0.9042,0.95484,0.77909,0.82473,0.50388,1.0027,0.006733,0.006733,0.006733
35,18007.4,0.87393,0.57319,1.11992,0.90413,0.91397,0.95713,0.77996,0.82711,0.49708,1.00258,0.006634,0.006634,0.006634
36,18532.4,0.86723,0.56703,1.11385,0.91291,0.91084,0.95531,0.78034,0.82155,0.4935,0.99624,0.006535,0.006535,0.006535
37,19046.4,0.87176,0.56491,1.11526,0.91853,0.90024,0.95694,0.78351,0.81762,0.4951,0.99385,0.006436,0.006436,0.006436
38,19562.4,0.86406,0.5588,1.10611,0.91306,0.91241,0.95386,0.7851,0.81672,0.49234,0.99267,0.006337,0.006337,0.006337
39,20057.9,0.85825,0.55663,1.10172,0.92692,0.90494,0.95836,0.78553,0.8143,0.4843,0.99527,0.006238,0.006238,0.006238
40,20570.2,0.85692,0.551,1.10308,0.92846,0.90337,0.95746,0.78865,0.81086,0.48611,0.99143,0.006139,0.006139,0.006139
41,21084.9,0.84327,0.53938,1.09616,0.91679,0.9138,0.95701,0.7855,0.81123,0.4853,0.99183,0.00604,0.00604,0.00604
42,21625.2,0.85158,0.55125,1.10354,0.91817,0.91505,0.95807,0.78781,0.80723,0.48424,0.98971,0.005941,0.005941,0.005941
43,22166,0.83631,0.53243,1.0926,0.91284,0.92178,0.95889,0.79123,0.80575,0.48301,0.99178,0.005842,0.005842,0.005842
44,22696.3,0.84091,0.54178,1.09382,0.92614,0.9093,0.95976,0.79405,0.79845,0.47874,0.98523,0.005743,0.005743,0.005743
45,23199.7,0.83483,0.53051,1.08752,0.92325,0.91151,0.96021,0.79381,0.79759,0.4757,0.98364,0.005644,0.005644,0.005644
46,23712.2,0.83067,0.52877,1.08562,0.92074,0.91709,0.96055,0.7941,0.80151,0.47672,0.98663,0.005545,0.005545,0.005545
47,24220.5,0.82927,0.52178,1.083,0.93714,0.903,0.96192,0.79767,0.79647,0.47199,0.98301,0.005446,0.005446,0.005446
48,24731.8,0.82412,0.52528,1.08603,0.91623,0.9231,0.95997,0.79498,0.79184,0.47108,0.97963,0.005347,0.005347,0.005347
49,25240.4,0.82435,0.52027,1.0821,0.9156,0.92568,0.96001,0.79821,0.7901,0.47046,0.98075,0.005248,0.005248,0.005248
50,25746.7,0.82054,0.51643,1.07714,0.91196,0.92176,0.95959,0.79781,0.79278,0.47079,0.98152,0.005149,0.005149,0.005149
51,26253.9,0.81663,0.51265,1.07874,0.92402,0.91002,0.95884,0.79646,0.79037,0.47234,0.9804,0.00505,0.00505,0.00505
52,26760.4,0.81538,0.51878,1.08047,0.92328,0.91992,0.96078,0.79839,0.79303,0.46786,0.98225,0.004951,0.004951,0.004951
53,27263.8,0.811,0.51107,1.0754,0.92487,0.91907,0.96116,0.79996,0.791,0.46358,0.97983,0.004852,0.004852,0.004852
54,27773.4,0.8046,0.50684,1.06773,0.91808,0.92638,0.96115,0.79887,0.7884,0.46268,0.9796,0.004753,0.004753,0.004753
55,28292,0.79991,0.50411,1.07051,0.92162,0.92199,0.96078,0.80073,0.78322,0.46073,0.97655,0.004654,0.004654,0.004654
56,28803.8,0.80323,0.50327,1.06955,0.92851,0.91322,0.96094,0.80166,0.77984,0.4608,0.9734,0.004555,0.004555,0.004555
57,29315.9,0.7964,0.49564,1.0673,0.91708,0.92651,0.96116,0.80166,0.78067,0.45822,0.97409,0.004456,0.004456,0.004456
58,29835.1,0.7963,0.50324,1.06867,0.91464,0.92715,0.96194,0.80185,0.78132,0.45828,0.97486,0.004357,0.004357,0.004357
59,30357.1,0.79098,0.49407,1.05999,0.91873,0.92488,0.96266,0.80512,0.7779,0.45577,0.97365,0.004258,0.004258,0.004258
60,30878.2,0.78653,0.49116,1.05931,0.92659,0.91551,0.96268,0.80579,0.77665,0.45536,0.97278,0.004159,0.004159,0.004159
61,31385.1,0.78949,0.49188,1.06133,0.92502,0.91757,0.96375,0.80559,0.77885,0.4549,0.9727,0.00406,0.00406,0.00406
62,31899.6,0.78342,0.48804,1.05475,0.92648,0.91609,0.96333,0.80695,0.77893,0.45371,0.97319,0.003961,0.003961,0.003961
63,32418.4,0.78057,0.48327,1.05533,0.92514,0.92019,0.96299,0.80646,0.77752,0.45383,0.97131,0.003862,0.003862,0.003862
64,32924.8,0.78171,0.48662,1.05774,0.91649,0.92722,0.96336,0.80808,0.77658,0.45021,0.9712,0.003763,0.003763,0.003763
65,33442.5,0.7761,0.48154,1.05423,0.92223,0.92154,0.96312,0.80838,0.7737,0.44832,0.97013,0.003664,0.003664,0.003664
66,33957.1,0.7731,0.48216,1.05101,0.92672,0.91584,0.96302,0.80884,0.77252,0.44852,0.97033,0.003565,0.003565,0.003565
67,34472.3,0.77179,0.47672,1.04775,0.92885,0.91763,0.96277,0.807,0.77077,0.44796,0.96835,0.003466,0.003466,0.003466
68,35000.4,0.76438,0.4735,1.04427,0.92474,0.91686,0.96233,0.80815,0.77042,0.44857,0.96873,0.003367,0.003367,0.003367
69,35522.9,0.76285,0.46938,1.04336,0.92363,0.91932,0.96239,0.80789,0.76992,0.44762,0.96919,0.003268,0.003268,0.003268
70,36047.8,0.75725,0.46769,1.04226,0.92439,0.92006,0.9623,0.80709,0.76936,0.44759,0.96902,0.003169,0.003169,0.003169
71,36575.6,0.75681,0.46319,1.03811,0.91509,0.92797,0.96194,0.8078,0.76821,0.44724,0.96733,0.00307,0.00307,0.00307
72,37114,0.75409,0.46386,1.0411,0.9202,0.92723,0.96192,0.80701,0.76673,0.44768,0.96639,0.002971,0.002971,0.002971
73,37634.9,0.75481,0.46763,1.03865,0.91549,0.9335,0.96213,0.80751,0.7659,0.44796,0.96591,0.002872,0.002872,0.002872
74,38141.1,0.74781,0.45974,1.03388,0.91903,0.93044,0.96235,0.809,0.76599,0.44816,0.96617,0.002773,0.002773,0.002773
75,38659.8,0.74545,0.45872,1.0389,0.92457,0.92648,0.96292,0.80963,0.76626,0.44666,0.96613,0.002674,0.002674,0.002674
76,39180.5,0.74298,0.45646,1.03253,0.92162,0.93123,0.96261,0.80906,0.76612,0.44597,0.96593,0.002575,0.002575,0.002575
77,39724.3,0.74073,0.45073,1.03101,0.91867,0.93298,0.96307,0.8102,0.76608,0.44564,0.96539,0.002476,0.002476,0.002476
78,40294.4,0.74187,0.45329,1.03343,0.91627,0.93299,0.96278,0.80918,0.76558,0.4466,0.96486,0.002377,0.002377,0.002377
79,40856,0.73271,0.44597,1.02546,0.91633,0.93485,0.9634,0.80963,0.76557,0.44686,0.9647,0.002278,0.002278,0.002278
80,41392.7,0.73632,0.4459,1.02768,0.92183,0.92884,0.96339,0.8092,0.76494,0.44697,0.96473,0.002179,0.002179,0.002179
81,41924.8,0.7285,0.43782,1.02145,0.9239,0.92815,0.9633,0.80952,0.76415,0.44651,0.96442,0.00208,0.00208,0.00208
82,42454.1,0.72831,0.44354,1.02219,0.92239,0.92639,0.96344,0.81018,0.76328,0.44641,0.9641,0.001981,0.001981,0.001981
83,42976.9,0.72745,0.44212,1.02144,0.9246,0.92226,0.96343,0.81046,0.7629,0.44601,0.96411,0.001882,0.001882,0.001882
84,43489.1,0.72232,0.43993,1.01794,0.9241,0.92227,0.96335,0.8104,0.76288,0.44494,0.96393,0.001783,0.001783,0.001783
85,43993.8,0.71991,0.43397,1.01803,0.92495,0.9215,0.9636,0.81037,0.76189,0.44387,0.96368,0.001684,0.001684,0.001684
86,44531.2,0.71964,0.4364,1.01671,0.91942,0.9252,0.96379,0.81153,0.76164,0.44346,0.96338,0.001585,0.001585,0.001585
87,45047.8,0.71187,0.42863,1.01237,0.91448,0.93348,0.96374,0.81154,0.76132,0.44382,0.96342,0.001486,0.001486,0.001486
88,45570,0.71449,0.42934,1.0131,0.91382,0.93445,0.96418,0.81131,0.7613,0.44345,0.9633,0.001387,0.001387,0.001387
89,46080.4,0.70688,0.42296,1.00646,0.91335,0.93501,0.96407,0.81149,0.76094,0.44347,0.96315,0.001288,0.001288,0.001288
90,46598.2,0.70468,0.42522,1.01214,0.9154,0.93405,0.96432,0.81108,0.76082,0.44366,0.96332,0.001189,0.001189,0.001189
91,47093.5,0.75474,0.39454,0.95958,0.91582,0.93416,0.96449,0.81125,0.76115,0.44326,0.96327,0.00109,0.00109,0.00109
92,47581.9,0.74784,0.38977,0.95359,0.91371,0.93579,0.96463,0.81224,0.76042,0.44263,0.96291,0.000991,0.000991,0.000991
93,48055.7,0.73263,0.38229,0.94855,0.91247,0.93644,0.96395,0.81094,0.76064,0.44226,0.96301,0.000892,0.000892,0.000892
94,48537.7,0.73403,0.38166,0.94463,0.91312,0.93347,0.96359,0.8116,0.76057,0.44216,0.96291,0.000793,0.000793,0.000793
95,49015.3,0.72935,0.37759,0.94678,0.90888,0.93746,0.96438,0.81132,0.76033,0.44159,0.96283,0.000694,0.000694,0.000694
96,49494.4,0.72052,0.37339,0.93902,0.90753,0.93789,0.96432,0.81196,0.7602,0.44176,0.96266,0.000595,0.000595,0.000595
97,49980.7,0.71878,0.37027,0.93545,0.90734,0.93795,0.96437,0.81185,0.75992,0.44153,0.9625,0.000496,0.000496,0.000496
98,50472.1,0.71745,0.37011,0.93521,0.90716,0.93778,0.96427,0.81195,0.76001,0.44111,0.96233,0.000397,0.000397,0.000397
